Path,Line Coverage,Function Coverage,Region Coverage
src/curl/lib/slist.c,70.49% (43/61),80.00% (4/5),72.50% (29/40)
src/curl/lib/smb.c,0.00% (0/630),0.00% (0/27),0.00% (0/423)
src/curl/lib/smtp.c,0.00% (0/930),0.00% (0/44),0.00% (0/719)
src/curl/lib/socks.c,0.00% (0/648),0.00% (0/4),0.00% (0/436)
src/curl/lib/speedcheck.c,31.03% (9/29),100.00% (2/2),45.45% (10/22)
src/curl/lib/splay.c,48.63% (71/146),100.00% (4/4),40.56% (58/143)
src/curl/lib/strcase.c,62.71% (37/59),55.56% (5/9),59.32% (35/59)
src/curl/lib/strdup.c,38.46% (5/13),50.00% (1/2),45.45% (5/11)
src/curl/lib/strerror.c,7.58% (21/277),25.00% (1/4),7.48% (11/147)
src/curl/lib/strtoofft.c,0.00% (0/22),0.00% (0/1),0.00% (0/19)
src/curl/lib/telnet.c,0.00% (0/939),0.00% (0/18),0.00% (0/894)
src/curl/lib/tftp.c,0.00% (0/798),0.00% (0/27),0.00% (0/489)
src/curl/lib/timeval.c,71.43% (25/35),100.00% (3/3),54.41% (37/68)
src/curl/lib/transfer.c,30.51% (332/1088),52.63% (10/19),36.35% (369/1015)
src/curl/lib/url.c,47.56% (1139/2395),78.00% (39/50),42.96% (986/2295)
src/curl/lib/urlapi.c,52.08% (564/1083),70.00% (14/20),49.60% (552/1113)
src/curl/lib/vauth/cleartext.c,0.00% (0/33),0.00% (0/3),0.00% (0/21)
src/curl/lib/vauth/cram.c,0.00% (0/23),0.00% (0/1),0.00% (0/10)
src/curl/lib/vauth/digest.c,2.24% (12/536),7.69% (1/13),5.64% (27/479)
src/curl/lib/vauth/ntlm.c,1.11% (4/360),14.29% (1/7),2.91% (5/172)
src/curl/lib/vauth/oauth2.c,0.00% (0/20),0.00% (0/2),0.00% (0/16)
src/curl/lib/vauth/vauth.c,0.00% (0/19),0.00% (0/2),0.00% (0/26)
src/curl/lib/vtls/keylog.c,9.59% (7/73),20.00% (1/5),7.41% (4/54)
src/curl/lib/vtls/openssl.c,3.91% (97/2478),19.67% (12/61),2.50% (54/2159)
src/curl/lib/vtls/vtls.c,12.66% (91/719),21.31% (13/61),20.51% (154/751)
src/curl/lib/warnless.c,17.91% (12/67),21.43% (3/14),19.15% (9/47)
src/curl/lib/wildcard.c,65.38% (17/26),66.67% (2/3),66.67% (8/12)
src/curl_fuzzer/curl_fuzzer.cc,93.44% (242/259),100.00% (11/11),82.59% (166/201)
src/curl_fuzzer/curl_fuzzer_callback.cc,55.14% (59/107),75.00% (3/4),60.56% (43/71)
src/curl_fuzzer/curl_fuzzer_tlv.cc,92.40% (158/171),100.00% (7/7),91.70% (431/470)
src/nghttp2/lib/nghttp2_buf.c,0.00% (0/355),0.00% (0/30),0.00% (0/183)
src/nghttp2/lib/nghttp2_callbacks.c,0.00% (0/79),0.00% (0/25),0.00% (0/28)
src/nghttp2/lib/nghttp2_frame.c,0.00% (0/721),0.00% (0/69),0.00% (0/321)
