Path,Line Coverage,Function Coverage,Region Coverage
src/nghttp2/lib/nghttp2_hd.c,0.00% (0/1649),0.00% (0/81),0.00% (0/1052)
src/nghttp2/lib/nghttp2_hd_huffman.c,0.00% (0/88),0.00% (0/5),0.00% (0/49)
src/nghttp2/lib/nghttp2_helper.c,0.00% (0/246),0.00% (0/14),0.00% (0/139)
src/nghttp2/lib/nghttp2_http.c,0.00% (0/410),0.00% (0/17),0.00% (0/382)
src/nghttp2/lib/nghttp2_map.c,0.00% (0/129),0.00% (0/12),0.00% (0/69)
src/nghttp2/lib/nghttp2_mem.c,0.00% (0/32),0.00% (0/10),0.00% (0/10)
src/nghttp2/lib/nghttp2_outbound_item.c,0.00% (0/86),0.00% (0/5),0.00% (0/32)
src/nghttp2/lib/nghttp2_pq.c,0.00% (0/133),0.00% (0/13),0.00% (0/73)
src/nghttp2/lib/nghttp2_priority_spec.c,0.00% (0/21),0.00% (0/4),0.00% (0/20)
src/nghttp2/lib/nghttp2_rcbuf.c,0.00% (0/49),0.00% (0/7),0.00% (0/23)
src/nghttp2/lib/nghttp2_session.c,0.00% (0/5359),0.00% (0/190),0.00% (0/3407)
src/nghttp2/lib/nghttp2_stream.c,0.00% (0/548),0.00% (0/50),0.00% (0/306)
src/nghttp2/lib/nghttp2_submit.c,0.00% (0/555),0.00% (0/23),0.00% (0/297)
src/nghttp2/lib/nghttp2_version.c,0.00% (0/5),0.00% (0/1),0.00% (0/5)
src/openssl/crypto/LPdir_unix.c,0.00% (0/47),0.00% (0/2),0.00% (0/26)
src/openssl/crypto/aes/aes_cbc.c,0.00% (0/8),0.00% (0/1),0.00% (0/4)
src/openssl/crypto/aes/aes_core.c,0.00% (0/323),0.00% (0/4),0.00% (0/87)
src/openssl/crypto/aes/aes_wrap.c,0.00% (0/7),0.00% (0/2),0.00% (0/2)
src/openssl/crypto/aria/aria.c,0.00% (0/225),0.00% (0/3),0.00% (0/463)
src/openssl/crypto/asn1/a_bitstr.c,20.39% (31/152),16.67% (1/6),19.44% (28/144)
src/openssl/crypto/asn1/a_d2i_fp.c,0.00% (0/167),0.00% (0/5),0.00% (0/135)
src/openssl/crypto/asn1/a_digest.c,0.00% (0/34),0.00% (0/2),0.00% (0/38)
src/openssl/crypto/asn1/a_dup.c,0.00% (0/37),0.00% (0/2),0.00% (0/27)
src/openssl/crypto/asn1/a_gentm.c,0.00% (0/40),0.00% (0/6),0.00% (0/34)
src/openssl/crypto/asn1/a_i2d_fp.c,0.00% (0/74),0.00% (0/4),0.00% (0/56)
src/openssl/crypto/asn1/a_int.c,13.65% (55/403),9.09% (3/33),13.45% (46/342)
src/openssl/crypto/asn1/a_mbstr.c,49.79% (119/239),70.00% (7/10),50.89% (114/224)
src/openssl/crypto/asn1/a_object.c,22.97% (68/296),33.33% (3/9),23.92% (72/301)
src/openssl/crypto/asn1/a_octet.c,0.00% (0/9),0.00% (0/3),0.00% (0/3)
src/openssl/crypto/asn1/a_print.c,0.00% (0/72),0.00% (0/3),0.00% (0/78)
src/openssl/crypto/asn1/a_sign.c,0.00% (0/169),0.00% (0/3),0.00% (0/171)
src/openssl/crypto/asn1/a_strex.c,4.51% (19/421),7.14% (1/14),3.51% (13/370)
src/openssl/crypto/asn1/a_strnid.c,0.00% (0/106),0.00% (0/10),0.00% (0/85)
src/openssl/crypto/asn1/a_time.c,0.00% (0/367),0.00% (0/17),0.00% (0/351)
src/openssl/crypto/asn1/a_type.c,8.49% (9/106),16.67% (1/6),10.08% (13/129)
src/openssl/crypto/asn1/a_utctm.c,0.00% (0/55),0.00% (0/7),0.00% (0/54)
src/openssl/crypto/asn1/a_utf8.c,18.79% (28/149),100.00% (2/2),18.25% (25/137)
src/openssl/crypto/asn1/a_verify.c,0.00% (0/122),0.00% (0/2),0.00% (0/125)
src/openssl/crypto/asn1/ameth_lib.c,24.40% (61/250),21.43% (6/28),28.74% (48/167)
src/openssl/crypto/asn1/asn1_err.c,100.00% (9/9),100.00% (1/1),100.00% (3/3)
src/openssl/crypto/asn1/asn1_gen.c,0.00% (0/527),0.00% (0/11),0.00% (0/536)
src/openssl/crypto/asn1/asn1_lib.c,39.93% (119/298),37.50% (9/24),41.23% (94/228)
src/openssl/crypto/asn1/asn1_par.c,0.00% (0/310),0.00% (0/5),0.00% (0/330)
src/openssl/crypto/asn1/asn_mime.c,0.00% (0/563),0.00% (0/22),0.00% (0/493)
src/openssl/crypto/asn1/asn_moid.c,5.00% (3/60),25.00% (1/4),2.00% (1/50)
src/openssl/crypto/asn1/asn_mstbl.c,12.00% (3/25),33.33% (1/3),5.88% (1/17)
src/openssl/crypto/asn1/asn_pack.c,0.00% (0/36),0.00% (0/2),0.00% (0/37)
src/openssl/crypto/asn1/bio_asn1.c,0.00% (0/256),0.00% (0/18),0.00% (0/199)
src/openssl/crypto/asn1/bio_ndef.c,0.00% (0/106),0.00% (0/5),0.00% (0/80)
