Path,Line Coverage,Function Coverage,Region Coverage
src/curl/lib/http_aws_sigv4.c,0.00% (0/289),0.00% (0/2),0.00% (0/192)
src/curl/lib/http_chunks.c,0.00% (0/179),0.00% (0/3),0.00% (0/118)
src/curl/lib/http_digest.c,4.88% (4/82),33.33% (1/3),1.72% (1/58)
src/curl/lib/http_ntlm.c,4.61% (7/152),33.33% (1/3),1.16% (1/86)
src/curl/lib/http_proxy.c,3.28% (15/458),27.27% (3/11),2.67% (10/374)
src/curl/lib/if2ip.c,8.54% (7/82),50.00% (1/2),6.78% (4/59)
src/curl/lib/imap.c,0.00% (0/1105),0.00% (0/49),0.00% (0/1077)
src/curl/lib/llist.c,87.14% (61/70),100.00% (5/5),85.37% (35/41)
src/curl/lib/md4.c,0.00% (0/6),0.00% (0/1),0.00% (0/1)
src/curl/lib/md5.c,0.00% (0/30),0.00% (0/4),0.00% (0/15)
src/curl/lib/memdebug.c,62.77% (145/231),75.00% (15/20),55.56% (95/171)
src/curl/lib/mime.c,12.41% (144/1160),22.41% (13/58),10.96% (103/940)
src/curl/lib/mprintf.c,43.31% (301/695),55.56% (10/18),43.85% (264/602)
src/curl/lib/mqtt.c,0.00% (0/505),0.00% (0/20),0.00% (0/295)
src/curl/lib/multi.c,36.58% (732/2001),48.61% (35/72),35.15% (562/1599)
src/curl/lib/netrc.c,0.00% (0/171),0.00% (0/2),0.00% (0/157)
src/curl/lib/nonblock.c,75.00% (6/8),100.00% (1/1),71.43% (5/7)
src/curl/lib/parsedate.c,0.00% (0/233),0.00% (0/9),0.00% (0/213)
src/curl/lib/pingpong.c,0.00% (0/267),0.00% (0/11),0.00% (0/197)
src/curl/lib/pop3.c,0.00% (0/756),0.00% (0/40),0.00% (0/566)
src/curl/lib/progress.c,35.75% (128/358),75.00% (12/16),13.31% (64/481)
src/curl/lib/rand.c,53.93% (48/89),100.00% (3/3),52.00% (26/50)
src/curl/lib/rename.c,83.33% (5/6),100.00% (1/1),75.00% (3/4)
src/curl/lib/rtsp.c,0.00% (0/499),0.00% (0/11),0.00% (0/409)
src/curl/lib/select.c,68.42% (78/114),100.00% (3/3),69.70% (69/99)
src/curl/lib/sendf.c,30.66% (111/362),57.14% (8/14),33.47% (82/245)
src/curl/lib/setopt.c,14.93% (269/1802),60.00% (3/5),12.60% (141/1119)
src/curl/lib/sha256.c,0.00% (0/6),0.00% (0/1),0.00% (0/1)
src/curl/lib/share.c,5.03% (8/159),40.00% (2/5),6.00% (6/100)
src/curl/lib/sigpipe.h,100.00% (15/15),100.00% (2/2),100.00% (6/6)
src/curl/lib/slist.c,70.49% (43/61),80.00% (4/5),72.50% (29/40)
src/curl/lib/smb.c,0.00% (0/630),0.00% (0/27),0.00% (0/423)
src/curl/lib/smtp.c,0.00% (0/930),0.00% (0/44),0.00% (0/719)
src/curl/lib/socks.c,0.00% (0/648),0.00% (0/4),0.00% (0/436)
src/curl/lib/speedcheck.c,31.03% (9/29),100.00% (2/2),45.45% (10/22)
src/curl/lib/splay.c,48.63% (71/146),100.00% (4/4),40.56% (58/143)
src/curl/lib/strcase.c,81.36% (48/59),77.78% (7/9),77.97% (46/59)
src/curl/lib/strdup.c,0.00% (0/13),0.00% (0/2),0.00% (0/11)
src/curl/lib/strerror.c,7.58% (21/277),25.00% (1/4),7.48% (11/147)
src/curl/lib/strtoofft.c,0.00% (0/22),0.00% (0/1),0.00% (0/19)
src/curl/lib/telnet.c,0.00% (0/939),0.00% (0/18),0.00% (0/894)
src/curl/lib/tftp.c,0.00% (0/798),0.00% (0/27),0.00% (0/489)
src/curl/lib/timeval.c,71.43% (25/35),100.00% (3/3),54.41% (37/68)
src/curl/lib/transfer.c,26.35% (287/1089),47.37% (9/19),32.15% (327/1017)
src/curl/lib/url.c,47.52% (1142/2403),78.00% (39/50),43.14% (994/2304)
src/curl/lib/urlapi.c,59.50% (645/1084),70.00% (14/20),62.53% (701/1121)
src/curl/lib/vauth/cleartext.c,0.00% (0/33),0.00% (0/3),0.00% (0/21)
src/curl/lib/vauth/cram.c,0.00% (0/23),0.00% (0/1),0.00% (0/10)
src/curl/lib/vauth/digest.c,2.24% (12/536),7.69% (1/13),5.64% (27/479)
src/curl/lib/vauth/ntlm.c,1.11% (4/360),14.29% (1/7),2.91% (5/172)
src/curl/lib/vauth/oauth2.c,0.00% (0/20),0.00% (0/2),0.00% (0/16)
src/curl/lib/vauth/vauth.c,0.00% (0/19),0.00% (0/2),0.00% (0/26)
src/curl/lib/vtls/keylog.c,9.59% (7/73),20.00% (1/5),7.41% (4/54)
src/curl/lib/vtls/openssl.c,3.95% (101/2555),22.22% (14/63),2.67% (58/2174)
src/curl/lib/vtls/vtls.c,13.84% (103/744),23.81% (15/63),21.63% (170/786)
src/curl/lib/warnless.c,23.88% (16/67),28.57% (4/14),28.57% (14/49)
src/curl/lib/wildcard.c,65.38% (17/26),66.67% (2/3),66.67% (8/12)
src/curl_fuzzer/curl_fuzzer.cc,93.44% (242/259),100.00% (11/11),82.59% (166/201)
src/curl_fuzzer/curl_fuzzer_callback.cc,55.14% (59/107),75.00% (3/4),60.56% (43/71)
src/curl_fuzzer/curl_fuzzer_tlv.cc,97.08% (166/171),100.00% (7/7),93.83% (441/470)
src/nghttp2/lib/nghttp2_buf.c,0.00% (0/355),0.00% (0/30),0.00% (0/183)
src/nghttp2/lib/nghttp2_callbacks.c,0.00% (0/79),0.00% (0/25),0.00% (0/28)
src/nghttp2/lib/nghttp2_frame.c,0.00% (0/721),0.00% (0/69),0.00% (0/321)
src/nghttp2/lib/nghttp2_hd.c,0.00% (0/1649),0.00% (0/81),0.00% (0/1052)
src/nghttp2/lib/nghttp2_hd_huffman.c,0.00% (0/88),0.00% (0/5),0.00% (0/49)
src/nghttp2/lib/nghttp2_helper.c,0.00% (0/246),0.00% (0/14),0.00% (0/139)
src/nghttp2/lib/nghttp2_http.c,0.00% (0/410),0.00% (0/17),0.00% (0/382)
src/nghttp2/lib/nghttp2_map.c,0.00% (0/129),0.00% (0/12),0.00% (0/69)
src/nghttp2/lib/nghttp2_mem.c,0.00% (0/32),0.00% (0/10),0.00% (0/10)
src/nghttp2/lib/nghttp2_outbound_item.c,0.00% (0/86),0.00% (0/5),0.00% (0/32)
src/nghttp2/lib/nghttp2_pq.c,0.00% (0/133),0.00% (0/13),0.00% (0/73)
src/nghttp2/lib/nghttp2_priority_spec.c,0.00% (0/21),0.00% (0/4),0.00% (0/20)
src/nghttp2/lib/nghttp2_rcbuf.c,0.00% (0/49),0.00% (0/7),0.00% (0/23)
src/nghttp2/lib/nghttp2_session.c,0.00% (0/5359),0.00% (0/190),0.00% (0/3407)
src/nghttp2/lib/nghttp2_stream.c,0.00% (0/548),0.00% (0/50),0.00% (0/306)
src/nghttp2/lib/nghttp2_submit.c,0.00% (0/555),0.00% (0/23),0.00% (0/297)
src/nghttp2/lib/nghttp2_version.c,0.00% (0/5),0.00% (0/1),0.00% (0/5)
src/openssl/crypto/LPdir_unix.c,0.00% (0/47),0.00% (0/2),0.00% (0/26)
src/openssl/crypto/aes/aes_cbc.c,0.00% (0/8),0.00% (0/1),0.00% (0/4)
src/openssl/crypto/aes/aes_core.c,0.00% (0/323),0.00% (0/4),0.00% (0/87)
src/openssl/crypto/aes/aes_wrap.c,0.00% (0/7),0.00% (0/2),0.00% (0/2)
src/openssl/crypto/aria/aria.c,0.00% (0/225),0.00% (0/3),0.00% (0/463)
src/openssl/crypto/asn1/a_bitstr.c,0.00% (0/152),0.00% (0/6),0.00% (0/144)
src/openssl/crypto/asn1/a_d2i_fp.c,0.00% (0/167),0.00% (0/5),0.00% (0/135)
src/openssl/crypto/asn1/a_digest.c,0.00% (0/34),0.00% (0/2),0.00% (0/38)
src/openssl/crypto/asn1/a_dup.c,0.00% (0/37),0.00% (0/2),0.00% (0/27)
src/openssl/crypto/asn1/a_gentm.c,0.00% (0/40),0.00% (0/6),0.00% (0/34)
src/openssl/crypto/asn1/a_i2d_fp.c,0.00% (0/74),0.00% (0/4),0.00% (0/56)
src/openssl/crypto/asn1/a_int.c,0.00% (0/403),0.00% (0/33),0.00% (0/342)
src/openssl/crypto/asn1/a_mbstr.c,0.00% (0/239),0.00% (0/10),0.00% (0/224)
src/openssl/crypto/asn1/a_object.c,0.00% (0/296),0.00% (0/9),0.00% (0/301)
src/openssl/crypto/asn1/a_octet.c,0.00% (0/9),0.00% (0/3),0.00% (0/3)
src/openssl/crypto/asn1/a_print.c,0.00% (0/72),0.00% (0/3),0.00% (0/78)
src/openssl/crypto/asn1/a_sign.c,0.00% (0/169),0.00% (0/3),0.00% (0/171)
src/openssl/crypto/asn1/a_strex.c,0.00% (0/421),0.00% (0/14),0.00% (0/370)
src/openssl/crypto/asn1/a_strnid.c,0.00% (0/106),0.00% (0/10),0.00% (0/85)
src/openssl/crypto/asn1/a_time.c,0.00% (0/367),0.00% (0/17),0.00% (0/351)
src/openssl/crypto/asn1/a_type.c,0.00% (0/106),0.00% (0/6),0.00% (0/129)
src/openssl/crypto/asn1/a_utctm.c,0.00% (0/55),0.00% (0/7),0.00% (0/54)
src/openssl/crypto/asn1/a_utf8.c,0.00% (0/149),0.00% (0/2),0.00% (0/137)
src/openssl/crypto/asn1/a_verify.c,0.00% (0/122),0.00% (0/2),0.00% (0/125)
src/openssl/crypto/asn1/ameth_lib.c,12.80% (32/250),10.71% (3/28),16.17% (27/167)
src/openssl/crypto/asn1/asn1_err.c,100.00% (9/9),100.00% (1/1),100.00% (3/3)
src/openssl/crypto/asn1/asn1_gen.c,0.00% (0/527),0.00% (0/11),0.00% (0/536)
src/openssl/crypto/asn1/asn1_lib.c,0.00% (0/298),0.00% (0/24),0.00% (0/228)
src/openssl/crypto/asn1/asn1_par.c,0.00% (0/310),0.00% (0/5),0.00% (0/330)
src/openssl/crypto/asn1/asn_mime.c,0.00% (0/563),0.00% (0/22),0.00% (0/493)
src/openssl/crypto/asn1/asn_moid.c,5.00% (3/60),25.00% (1/4),2.00% (1/50)
src/openssl/crypto/asn1/asn_mstbl.c,12.00% (3/25),33.33% (1/3),5.88% (1/17)
src/openssl/crypto/asn1/asn_pack.c,0.00% (0/36),0.00% (0/2),0.00% (0/37)
src/openssl/crypto/asn1/bio_asn1.c,0.00% (0/256),0.00% (0/18),0.00% (0/199)
src/openssl/crypto/asn1/bio_ndef.c,0.00% (0/106),0.00% (0/5),0.00% (0/80)
src/openssl/crypto/asn1/d2i_pr.c,0.00% (0/83),0.00% (0/2),0.00% (0/66)
src/openssl/crypto/asn1/evp_asn1.c,0.00% (0/65),0.00% (0/4),0.00% (0/55)
src/openssl/crypto/asn1/f_int.c,0.00% (0/124),0.00% (0/4),0.00% (0/115)
src/openssl/crypto/asn1/f_string.c,0.00% (0/107),0.00% (0/2),0.00% (0/101)
src/openssl/crypto/asn1/i2d_pr.c,0.00% (0/16),0.00% (0/1),0.00% (0/17)
src/openssl/crypto/asn1/nsseq.c,0.00% (0/8),0.00% (0/1),0.00% (0/5)
